CETV1,rtp://239.77.0.200:5146$广东cmc
CETV2,rtp://239.77.1.69:5146$广东cmc
CETV4,rtp://239.253.43.114:5146$广东cmc
CETV5,rtp://239.77.0.180:5146$广东cmc
Y嘉佳卡通,rtp://239.77.0.179:5146$广东cmc
广东珠江,rtp://239.77.0.1:5146$广东cmc
广东新闻,rtp://239.77.0.173:5146$广东cmc
广东民生,rtp://239.77.0.225:5146$广东cmc
广东体育,rtp://239.77.0.112:5146$广东cmc
广东经济科教,rtp://239.77.0.85:5146$广东cmc
广东大湾区,rtp://239.77.0.215:5146$广东cmc
广东影视,rtp://239.77.0.217:5146$广东cmc
广东少儿,rtp://239.77.0.250:5146$广东cmc
揭阳综合,rtp://239.77.0.229:5146$广东cmc
揭阳生活,rtp://239.77.0.251:5146$广东cmc
深圳都市,rtp://239.77.1.124:5146$广东cmc
深圳影视,rtp://239.77.1.125:5146$广东cmc
深圳财经,rtp://239.77.1.242:5146$广东cmc
深圳娱乐,rtp://239.77.1.243:5146$广东cmc
深圳少儿,rtp://239.77.1.244:5146$广东cmc
深圳公共,rtp://239.77.1.178:5146$广东cmc
深圳宝安,rtp://239.77.1.67:5146$广东cmc
深圳龙岗,rtp://239.77.1.223:5146$广东cmc
深圳东部,rtp://239.77.1.224:5146$广东cmc
深圳众创,rtp://239.77.1.247:5146$广东cmc
韶关新闻,rtp://239.77.0.117:5146$广东cmc
韶关生活,rtp://239.77.0.119:5146$广东cmc
湛江新闻,rtp://239.77.0.141:5146$广东cmc
湛江公共,rtp://239.77.0.140:5146$广东cmc
客家生活,rtp://239.253.43.124:5146$广东cmc
潮州综合,rtp://239.253.43.70:5146$广东cmc
潮州民生,rtp://239.253.43.75:5146$广东cmc
汕尾新闻,rtp://239.77.0.25:5146$广东cmc
汕尾文化,rtp://239.77.0.187:5146$广东cmc
江门综合,rtp://239.77.0.201:5146$广东cmc
江门侨乡,rtp://239.77.0.202:5146$广东cmc
HZTV1,rtp://239.77.1.232:5146$广东cmc
HZTV2,rtp://239.77.1.233:5146$广东cmc
珠海1,rtp://239.77.0.155:5146$广东cmc
珠海2,rtp://239.77.0.154:5146$广东cmc
肇庆综合,rtp://239.253.43.1:5146$广东cmc
肇庆生活,rtp://239.253.43.4:5146$广东cmc
河源综合,rtp://239.253.43.213:5146$广东cmc
河源公共,rtp://239.253.43.214:5146$广东cmc
清远新闻,rtp://239.253.43.33:5146$广东cmc
清远文旅,rtp://239.253.43.34:5146$广东cmc
云浮综合,rtp://239.77.0.253:5146$广东cmc
云浮文旅,rtp://239.77.0.254:5146$广东cmc
茂名综合,rtp://239.77.0.206:5146$广东cmc
茂名公共,rtp://239.77.0.207:5146$广东cmc
汕头综合,rtp://239.253.43.45:5146$广东cmc
汕头经济,rtp://239.77.1.131:5146$广东cmc
汕头文旅,rtp://239.77.1.132:5146$广东cmc
佛山公共,rtp://239.253.43.53:5146$广东cmc
佛山南海,rtp://239.253.43.54:5146$广东cmc
佛山顺德,rtp://239.253.43.55:5146$广东cmc
佛山影视,rtp://239.253.43.56:5146$广东cmc
佛山综合,rtp://239.253.43.57:5146$广东cmc
东莞新闻,rtp://239.253.43.104:5146$广东cmc
东莞生活,rtp://239.253.43.105:5146$广东cmc
中山综合,rtp://239.253.43.62:5146$广东cmc
香山文化,rtp://239.253.43.63:5146$广东cmc
中山教育,rtp://239.253.43.64:5146$广东cmc
徐闻综合,rtp://239.253.43.112:5146$广东cmc
现代教育,rtp://239.77.0.18:5146$广东cmc
广东房产,rtp://239.77.0.14:5146$广东cmc
广DW综合,rtp://239.253.43.71:5146$广东cmc
广DW法治,rtp://239.253.43.74:5146$广东cmc
广DW发现之旅,rtp://239.77.1.112:5146$广东cmc
广DM梅州-1,rtp://239.253.43.123:5146$广东cmc
广DM岭南戏曲,rtp://239.77.0.16:5146$广东cmc
