广东频道,#genre#
汕头综合,http://mail.bfgpay.cn:2052/udp/239.77.1.130:5146$1920x1080
汕头综合,http://120.234.49.38:7000/udp/239.21.0.101:3744$1920x1080
汕头综合,http://lzjzyh.xyz:8888/udp/239.21.0.101:3744$1920x1080
汕头综合,http://jt.zorua.cn:8787/udp/239.253.43.45:5146$1920x1080
汕头综合,http://www.zzlag.top:9003/hls/47/index.m3u8
汕头综合,http://jt.zorua.cn:8787/udp/239.253.43.30:5146$1920x1080
汕头综合,http://jt.zorua.cn:8787/udp/239.77.1.130:5146$1920x1080
汕头经济,http://jt.zorua.cn:8787/udp/239.253.43.43:5146$1920x1080
汕头经济,http://www.zzlag.top:9003/hls/48/index.m3u8
汕头经济,http://jt.zorua.cn:8787/udp/239.77.1.131:5146$1920x1080
汕头经济,http://jt.zorua.cn:8787/udp/239.253.43.46:5146$1920x1080
汕头经济,http://lzjzyh.xyz:8888/udp/239.21.0.102:3748$1920x1080
汕头经济,http://mail.bfgpay.cn:2052/udp/239.77.1.131:5146$1920x1080
汕头文旅,http://jt.zorua.cn:8787/udp/239.253.43.44:5146$1920x1080
汕头文旅,http://lzjzyh.xyz:8888/udp/239.21.0.103:3752$1920x1080
汕头文旅,http://mail.bfgpay.cn:2052/udp/239.77.1.132:5146$1920x1080
汕头文旅,http://jt.zorua.cn:8787/udp/239.77.1.132:5146$1920x1080
汕头文旅,http://jt.zorua.cn:8787/udp/239.253.43.47:5146$1920x1080
汕头文旅,http://www.zzlag.top:9003/hls/49/index.m3u8
汕尾新闻综合,http://113.100.72.213:8899/udp/239.77.0.25:5146$1920x1080
汕尾新闻综合,http://shjy.530070.xyz:8000/udp/239.77.0.25:5146$1920x1080
汕尾新闻综合,http://jt.zorua.cn:8787/udp/239.77.1.189:5146$1920x1080
汕尾新闻综合,http://mail.bfgpay.cn:2052/udp/239.77.0.25:5146$1920x1080
汕尾新闻综合,http://jt.zorua.cn:8787/udp/239.77.0.25:5146$1920x1080
汕尾文化生活,http://jt.zorua.cn:8787/udp/239.77.0.187:5146$1920x1080
汕尾文化生活,http://jt.zorua.cn:8787/udp/239.77.1.190:5146$1920x1080
汕尾文化生活,http://shjy.530070.xyz:8000/udp/239.77.0.187:5146$1920x1080
汕尾文化生活,http://mail.bfgpay.cn:2052/udp/239.77.0.187:5146$1920x1080
汕尾文化生活,http://113.100.72.213:8899/udp/239.77.0.187:5146$1920x1080
港澳台频道,#genre#
凤凰中文,http://115.201.166.117:9999/rtp/233.50.200.191:5140?$1920x1080
凤凰中文,http://118.254.203.45:8888/rtp/239.76.253.135:9000$1920x1080
凤凰中文,http://124.230.56.162:55555/rtp/239.76.253.135:9000$1920x1080
凤凰中文,http://183.133.104.36:8899/rtp/233.50.200.191:5140$1920x1080
凤凰中文,http://ayolee.com:5253/udp/239.93.0.162:2192$1920x1080
凤凰中文,http://60.189.43.82:9999/rtp/233.50.200.191:5140$1920x1080
凤凰中文,http://183.148.141.101:8866/rtp/233.50.200.191:5140$1920x1080
凤凰中文,http://60.179.86.91:9999/rtp/233.50.200.191:5140$1920x1080
凤凰中文,http://183.151.61.152:4022/rtp/233.50.200.191:5140$1920x1080
